god,Desires,a god,-1,-1,-1,-1
surprises,Desires,surprises,0,0,0,0
person,Desires,a headache,-1,-1,-1,-1
person,Desires,clothing,-0.006970056373460306,160,2,1
person,Desires,compliments,-0.006970056373460306,160,2,1
bad,DistinctFrom,good,-0.039925482875857767,160,159,1
hard,DistinctFrom,hard,0,0,0,0
girl,DistinctFrom,girl,0,0,0,0
girl,DistinctFrom,boy,-0.03957362845569876,128,159,1
day,DistinctFrom,night,-0.006970056373460306,160,2,1
day,DistinctFrom,day,0,0,0,0
full,DistinctFrom,empty,0.0,3,2,1
close,DistinctFrom,far,0.0,3,2,1
remember,DistinctFrom,remember,0,0,0,0
mean,DistinctFrom,nice,-0.007969968051417246,71,2,1
dead,DistinctFrom,alive,0.0,3,2,1
dead,DistinctFrom,dead,0,0,0,0
past,DistinctFrom,future,0.006894551192688459,160,159,79
row,DistinctFrom,row,0,0,0,0
even,DistinctFrom,odd,-0.039925482875857767,160,159,1
aight,EtymologicallyRelatedTo,all right,-1,-1,-1,-1
aight,EtymologicallyRelatedTo,aight,0,0,0,0
burger,FormOf,burger,0,0,0,0
aight,FormOf,aight,0,0,0,0
dont,FormOf,don't,-0.006970056373460306,160,2,1
isnt,FormOf,isn't,-0.006970056373460306,160,2,1
hurtin,FormOf,lovin,-0.006970056373460306,160,2,1
bart,FormOf,bartholomew,0.0,3,2,1
bart,FormOf,bart,0,0,0,0
simpson,FormOf,simpson,0,0,0,0
giant,FormOf,giant,0,0,0,0
failing,FormOf,failing,0,0,0,0
skipping,FormOf,skipping,0,0,0,0
lowkey,FormOf,low key,-1,-1,-1,-1
pubg,FormOf,publicize,0.0,3,2,1
fufu,FormOf,foo foo,-1,-1,-1,-1
tries,FormOf,trie,0.0,3,2,1
colleges,FormOf,college,-0.006797372005639958,3,3,1
frats,FormOf,frat,-0.006797372005639958,3,3,1
tweeted,FormOf,tweet,0.0,3,2,1
one,FormOf,one,0,0,0,0
schoolers,FormOf,schooler,-0.039925482875857767,160,159,1
throwing,FormOf,throw,0.0,3,2,1
radford,FormOf,radford,0,0,0,0
shooters,FormOf,shooter,-0.006797372005639958,3,3,1
orphaned,FormOf,orphan,0.0,3,2,1
wit,FormOf,wit,0,0,0,0
wronged,FormOf,wrong,-0.006797372005639958,3,3,1
wont,FormOf,wont,0,0,0,0
lowkey,genre,hip hop music,-1,-1,-1,-1
lmfao,genre,hip hop music,-1,-1,-1,-1
lmfao,genre,electronic dance music,-1,-1,-1,-1
god,HasA,a strange sense of humor,-1,-1,-1,-1
colleges,HasA,formal areas called yards,-1,-1,-1,-1
tryna,HasContext,slang,0.0,3,2,1
aight,HasContext,slang,-0.006970056373460306,160,2,1
aight,HasContext,aave,-0.039925482875857767,160,159,1
aight,HasContext,us,-0.039925482875857767,160,159,1
dont,HasContext,nonstandard,-0.006970056373460306,160,2,1
rap,HasContext,music,0.0,3,2,1
depressed,HasContext,biology,-0.039925482875857767,160,159,1
bart,HasContext,british,0.0,3,2,1
drugs,HasContext,drugs,0,0,0,0
lmfao,HasContext,internet slang,-1,-1,-1,-1
lmfao,HasContext,vulgar,0.0,3,2,1
def,HasContext,rpg,3.5557995001770344,3,2,52
